Subject,Control,Complexity,Num_A,Num_sim,Regret_cum
1,autoergodic,low,1,12,11.2217441099956
1,none,high,1,12,52.868255229945
1,waypoint,high,1,12,112.144111157704
1,directergodic,high,1,12,106.979593821235
1,sharedergodic,high,1,12,58.5144084691163
1,autoergodic,high,1,12,103.303732387567
1,none,low,1,16,9.26328911946297
1,waypoint,low,1,16,11.1891784532437
1,directergodic,low,1,16,3.68669107062989
1,sharedergodic,low,1,16,3.08764399134244
1,autoergodic,low,1,16,9.31548763530656
1,none,high,1,16,5.80379884671569
1,waypoint,high,1,16,12.127755391036
1,directergodic,high,1,16,7.88903399484046
1,sharedergodic,high,1,16,8.70030383830713
1,autoergodic,high,1,16,106.263732316593
1,none,low,1,20,7.26328911946296
1,waypoint,low,1,20,12.7391784532437
1,directergodic,low,1,20,5.52760016153898
1,sharedergodic,low,1,20,1.28764399134244
1,autoergodic,low,1,20,10.5171510469559
1,none,high,1,20,5.17813592949852
1,waypoint,high,1,20,13.618456875482
1,directergodic,high,1,20,9.75308633664594
1,sharedergodic,high,1,20,7.22530383830713
1,autoergodic,high,1,20,5.37273274175379
1,none,low,1,26,6.76328911946296
1,waypoint,low,1,26,12.4197052860596
1,directergodic,low,1,26,4.09383392777275
1,sharedergodic,low,1,26,2.03764399134244
1,autoergodic,low,1,26,10.2967441099956
1,none,high,1,26,4.30379884671569
1,waypoint,high,1,26,13.6446473516725
1,directergodic,high,1,26,8.75722357447478
1,sharedergodic,high,1,26,10.7547764222192
1,autoergodic,high,1,26,6.95397765507142
1,none,low,1,33,9.38147093764478
1,waypoint,low,1,33,13.940811412812
1,directergodic,low,1,33,4.39383392777275
1,sharedergodic,low,1,33,2.48764399134244
1,autoergodic,low,1,33,10.8489480113999
1,none,high,1,33,4.47046551338235
1,waypoint,high,1,33,12.4067685637937
1,directergodic,high,1,33,8.7817914543776
1,sharedergodic,high,1,33,10.1174071619147
1,autoergodic,high,1,33,5.46609886719263
1,none,low,1,43,7.86768472385857
1,waypoint,low,1,43,13.6317205037211
1,directergodic,low,1,43,5.02597678491561
1,sharedergodic,low,1,43,2.92400762770608
1,autoergodic,low,1,43,10.653583509188
1,none,high,1,43,3.95764500056184
1,waypoint,high,1,43,12.0428075248326
1,directergodic,high,1,43,9.70130062236023
1,sharedergodic,high,1,43,8.98279840024116
1,autoergodic,high,1,43,6.48701845603951
1,none,low,1,55,8.54060004383271
1,waypoint,low,1,55,13.6816122786129
1,directergodic,low,1,55,5.16526249920132
1,sharedergodic,low,1,55,1.93050113419958
1,autoergodic,low,1,55,10.0194713827229
1,none,high,1,55,4.60379884671569
1,waypoint,high,1,55,11.5291711611963
1,directergodic,high,1,55,9.66955945397742
1,sharedergodic,high,1,55,7.35663998791228
1,autoergodic,high,1,55,4.96558988461094
1,none,low,1,70,8.35852721470106
1,waypoint,low,1,70,12.0577304961436
1,directergodic,low,1,70,4.55097678491561
1,sharedergodic,low,1,70,2.35907256277101
1,autoergodic,low,1,70,11.115168305937
1,none,high,1,70,4.5180845610014
1,waypoint,high,1,70,10.9060852601692
1,directergodic,high,1,70,10.0054488097197
1,sharedergodic,high,1,70,9.97162794113553
1,autoergodic,high,1,70,3.25520027422133
1,none,low,1,90,8.63828911946296
1,waypoint,low,1,90,12.8935406897863
1,directergodic,low,1,90,5.72473454889076
1,sharedergodic,low,1,90,1.91922293871086
1,autoergodic,low,1,90,10.5975154348595
1,none,high,1,90,4.42879884671569
1,waypoint,high,1,90,12.2435867456119
1,directergodic,high,1,90,8.96957689178258
1,sharedergodic,high,1,90,10.2161605643928
1,autoergodic,high,1,90,5.89773274175379
1,none,low,1,116,8.67600259194873
1,waypoint,low,1,116,12.3254395337816
1,directergodic,low,1,116,4.81020885719116
1,sharedergodic,low,1,116,2.38764399134244
1,autoergodic,low,1,116,10.0446150894199
1,none,high,1,116,4.45897126050879
1,waypoint,high,1,116,12.2380421289382
1,directergodic,high,1,116,8.37550574553752
1,sharedergodic,high,1,116,8.97083617945541
1,autoergodic,high,1,116,4.71052730013659
1,none,low,1,148,7.82211264887473
1,waypoint,low,1,148,11.826799109326
1,directergodic,low,1,148,5.05479119899959
1,sharedergodic,low,1,148,2.36456706826552
1,autoergodic,low,1,148,10.1302170886299
1,none,high,1,148,4.26094170385854
1,waypoint,high,1,148,11.1236855136671
1,directergodic,high,1,148,9.17023818700909
