Subject,Control,Complexity,Num_A,Num_sim,Intersection_time,Regret
15,none,low,4,55,150,0.13019610543905213
15,none,low,4,70,150,0.14213725435166358
15,none,low,4,90,150,0.14774146163809374
15,none,low,4,116,150,0.12053804404667602
15,none,low,4,148,150,0.09785024065319842
15,none,low,4,191,150,0.10371404404905474
15,none,low,4,245,150,0.09752040803404302
15,none,low,4,314,150,0.09323591323164668
15,none,low,4,403,150,0.08547039639837599
15,none,low,4,518,150,0.09858442664586832
15,none,low,4,665,150,0.09393302920255533
15,none,low,4,854,150,0.0923680702696421
15,none,low,4,1097,150,0.08477622072235473
15,none,low,4,1408,150,0.08477622072235472
15,none,low,4,1808,150,0.08557925428169161
15,none,low,4,2322,150,0.08557925428169162
15,none,low,4,2981,150,0.08557925428169162
15,none,low,4,3828,150,0.08557925428169164
15,none,low,4,4915,150,0.08557925428169164
15,none,low,4,6311,150,0.08557925428169164
15,none,low,4,8103,150,0.08557925428169164
15,none,low,4,10405,150,0.08557925428169164
15,none,low,4,13360,150,0.0855792542816916
15,none,low,4,17154,150,0.08557925428169152
15,none,low,4,22026,150,0.08557925428169154
15,none,low,5,1,150,50.082089415348015
15,none,low,5,2,150,50.082089415348015
15,none,low,5,3,150,50.082089415348015
15,none,low,5,4,150,50.059474955912584
15,none,low,5,6,150,50.08123997477998
15,none,low,5,7,150,50.08123997477998
15,none,low,5,9,150,0.0
15,none,low,5,12,150,0.0
15,none,low,5,16,150,0.0
15,none,low,5,20,150,0.0
15,none,low,5,26,150,0.008122199847716227
15,none,low,5,33,150,0.08439195119093076
15,none,low,5,43,150,0.0
15,none,low,5,55,150,0.0
15,none,low,5,70,150,0.021134624667665344
15,none,low,5,90,150,0.05374827925062599
15,none,low,5,116,150,0.06506547101116075
15,none,low,5,148,150,0.11322153291261756
15,none,low,5,191,150,0.12958334620764883
15,none,low,5,245,150,0.07812701760806696
15,none,low,5,314,150,0.09101875127996985
15,none,low,5,403,150,0.08510655057121505
15,none,low,5,518,150,0.06697038193911682
15,none,low,5,665,150,0.08002970320910774
15,none,low,5,854,150,0.06850158682705175
15,none,low,5,1097,150,0.05869163280215396
15,none,low,5,1408,150,0.055974440464527306
15,none,low,5,1808,150,0.06159843965931526
15,none,low,5,2322,150,0.0682628302878691
15,none,low,5,2981,150,0.07386800163918941
15,none,low,5,3828,150,0.0778368219139299
15,none,low,5,4915,150,0.07658673903487428
15,none,low,5,6311,150,0.07684726731524433
15,none,low,5,8103,150,0.07684726731524433
15,none,low,5,10405,150,0.07684726731524433
15,none,low,5,13360,150,0.07684726731524436
15,none,low,5,17154,150,0.07684726731524437
15,none,low,5,22026,150,0.07684726731524434
15,none,low,6,1,150,49.87243593838487
15,none,low,6,2,150,50.04691710292942
15,none,low,6,3,150,0.10764970317556091
15,none,low,6,4,150,0.16558343262698627
15,none,low,6,6,150,0.2373932543201131
15,none,low,6,7,150,0.3849385026733834
15,none,low,6,9,150,0.23203751755457647
15,none,low,6,12,150,0.26099060689232306
15,none,low,6,16,150,0.0
15,none,low,6,20,150,0.0015234424896869991
15,none,low,6,26,150,0.09832333181856859
15,none,low,6,33,150,0.12637767235245514
15,none,low,6,43,150,0.06997422179170024
15,none,low,6,55,150,0.021124764124329426
15,none,low,6,70,150,0.041281048456281055
15,none,low,6,90,150,0.008366160300446776
15,none,low,6,116,150,0.04294712553897703
15,none,low,6,148,150,0.029410356404607124
15,none,low,6,191,150,0.0
15,none,low,6,245,150,0.0
15,none,low,6,314,150,0.0
15,none,low,6,403,150,0.037902908691864745
15,none,low,6,518,150,0.045832042080198865
15,none,low,6,665,150,0.02784026092282399
15,none,low,6,854,150,0.043198574161193756
15,none,low,6,1097,150,0.057625003479907524
15,none,low,6,1408,150,0.05673369474968935
15,none,low,6,1808,150,0.05834963486169062
15,none,low,6,2322,150,0.05432938688021277
15,none,low,6,2981,150,0.05311730101278295
15,none,low,6,3828,150,0.06659559561219586
15,none,low,6,4915,150,0.06952468646753387
15,none,low,6,6311,150,0.07013651780774094
15,none,low,6,8103,150,0.07067023177632736
15,none,low,6,10405,150,0.07002067059088676
15,none,low,6,13360,150,0.07046494734624452
15,none,low,6,17154,150,0.07011887752571747
15,none,low,6,22026,150,0.06927463895049202
15,none,low,8,1,150,49.88377586929536
15,none,low,8,2,150,0.21073018620750067
15,none,low,8,3,150,0.077619327874503
15,none,low,8,4,150,0.11048642335909868
15,none,low,8,6,150,0.03143688227765931
15,none,low,8,7,150,0.2064671098772079
15,none,low,8,9,150,0.2595482950577653
15,none,low,8,12,150,0.2041029080397377
15,none,low,8,16,150,0.11483965379721797
15,none,low,8,20,150,0.04761006541211696
15,none,low,8,26,150,0.16378848392199646
15,none,low,8,33,150,0.1835919509784335
15,none,low,8,43,150,0.2035077652432889
15,none,low,8,55,150,0.21060940086652627
15,none,low,8,70,150,0.10071054986992364
15,none,low,8,90,150,0.034975074125021266
15,none,low,8,116,150,0.0024304987869771255
15,none,low,8,148,150,0.034186660435161054
15,none,low,8,191,150,0.0
15,none,low,8,245,150,0.03392861887490159
15,none,low,8,314,150,0.04597670195993572
15,none,low,8,403,150,0.060267391494896655
15,none,low,8,518,150,0.06186655723653861
15,none,low,8,665,150,0.04746386413653898
15,none,low,8,854,150,0.05518945940327025
15,none,low,8,1097,150,0.05920475284902449
15,none,low,8,1408,150,0.05166784296350459
15,none,low,8,1808,150,0.03794748932454198
15,none,low,8,2322,150,0.03824902272856051
15,none,low,8,2981,150,0.05672423605419369
15,none,low,8,3828,150,0.0518564410748783
15,none,low,8,4915,150,0.05581824300314872
