Subject,Control,Complexity,Num_A,Num_sim,Intersection_time,Regret
20,waypoint,low,10,314,193,0.0
20,waypoint,low,10,403,193,0.0
20,waypoint,low,10,518,193,0.0
20,waypoint,low,10,665,193,0.0
20,waypoint,low,10,854,193,0.0
20,waypoint,low,10,1097,193,0.0
20,waypoint,low,10,1408,193,0.0
20,waypoint,low,10,1808,193,0.0
20,waypoint,low,10,2322,193,0.0
20,waypoint,low,10,2981,193,0.0
20,waypoint,low,10,3828,193,0.0
20,waypoint,low,10,4915,193,0.0
20,waypoint,low,10,6311,193,0.0
20,waypoint,low,10,8103,193,0.0
20,waypoint,low,10,10405,193,0.0
20,waypoint,low,10,13360,193,0.0
20,directergodic,low,3,1,128,0.0
20,directergodic,low,3,2,128,0.0
20,directergodic,low,3,3,128,1.1919379316259275
20,directergodic,low,3,4,128,1.1919379316259275
20,directergodic,low,3,6,128,1.1919379316259275
20,directergodic,low,3,7,128,1.1919379316259275
20,directergodic,low,3,9,128,1.1919379316259275
20,directergodic,low,3,12,128,0.9222790640842127
20,directergodic,low,3,16,128,0.9222790640842127
20,directergodic,low,3,20,128,0.9222790640842127
20,directergodic,low,3,26,128,0.9222790640842127
20,directergodic,low,3,33,128,0.9222790640842127
20,directergodic,low,3,43,128,0.9222790640842127
20,directergodic,low,3,55,128,0.9222790640842127
20,directergodic,low,3,70,128,0.872005072567491
20,directergodic,low,3,90,128,0.0
20,directergodic,low,3,116,128,0.0
20,directergodic,low,3,148,128,0.0
20,directergodic,low,3,191,128,0.0
20,directergodic,low,3,245,128,0.0
20,directergodic,low,3,314,128,0.0
20,directergodic,low,3,403,128,0.0
20,directergodic,low,3,518,128,0.0
20,directergodic,low,3,665,128,0.0
20,directergodic,low,3,854,128,0.0
20,directergodic,low,3,1097,128,0.0
20,directergodic,low,3,1408,128,0.0
20,directergodic,low,3,1808,128,0.0
20,directergodic,low,3,2322,128,0.0
20,directergodic,low,3,2981,128,0.0
20,directergodic,low,3,3828,128,0.0
20,directergodic,low,3,4915,128,0.0
20,directergodic,low,3,6311,128,0.0
20,directergodic,low,3,8103,128,0.0
20,directergodic,low,4,1,128,49.758334008199164
20,directergodic,low,4,2,128,0.0
20,directergodic,low,4,3,128,0.0
20,directergodic,low,4,4,128,0.0
20,directergodic,low,4,6,128,0.0
